Addresss,station,walk_min,sale_price ,layout,floor_area_sqm,building_age,structure,description
あすみが丘,土気,3,14000000,４ＬＤＫ,80,1993年,ＲＣ,あすみが丘、土気から3、1993年、ＲＣの４ＬＤＫ、80のマンションが14000000で取引された。
あすみが丘,土気,3,12000000,４ＬＤＫ,80,1993年,ＲＣ,あすみが丘、土気から3、1993年、ＲＣの４ＬＤＫ、80のマンションが12000000で取引された。
あすみが丘,土気,3,11000000,３ＬＤＫ,60,1993年,ＲＣ,あすみが丘、土気から3、1993年、ＲＣの３ＬＤＫ、60のマンションが11000000で取引された。
あすみが丘,土気,14,12000000,３ＬＤＫ,75,1997年,ＲＣ,あすみが丘、土気から14、1997年、ＲＣの３ＬＤＫ、75のマンションが12000000で取引された。
あすみが丘,土気,20,8000000,２ＬＤＫ,55,1993年,ＲＣ,あすみが丘、土気から20、1993年、ＲＣの２ＬＤＫ、55のマンションが8000000で取引された。
あすみが丘,土気,15,17000000,４ＬＤＫ,95,1993年,ＲＣ,あすみが丘、土気から15、1993年、ＲＣの４ＬＤＫ、95のマンションが17000000で取引された。
あすみが丘,土気,21,7000000,３ＬＤＫ,75,1995年,ＲＣ,あすみが丘、土気から21、1995年、ＲＣの３ＬＤＫ、75のマンションが7000000で取引された。
あすみが丘,土気,4,13000000,３ＬＤＫ,60,1993年,ＲＣ,あすみが丘、土気から4、1993年、ＲＣの３ＬＤＫ、60のマンションが13000000で取引された。
あすみが丘,土気,3,12000000,４ＬＤＫ,80,1993年,ＲＣ,あすみが丘、土気から3、1993年、ＲＣの４ＬＤＫ、80のマンションが12000000で取引された。
おゆみ野,土気,8,19000000,２ＬＤＫ,70,1999年,ＳＲＣ,おゆみ野、土気から8、1999年、ＳＲＣの２ＬＤＫ、70のマンションが19000000で取引された。
おゆみ野,土気,8,10000000,４ＬＤＫ,75,1999年,ＳＲＣ,おゆみ野、土気から8、1999年、ＳＲＣの４ＬＤＫ、75のマンションが10000000で取引された。
おゆみ野南,土気,28,16000000,３ＬＤＫ,75,1996年,ＲＣ,おゆみ野南、土気から28、1996年、ＲＣの３ＬＤＫ、75のマンションが16000000で取引された。
高津戸町,土気,13,12000000,３ＬＤＫ,75,,,高津戸町、土気から13、、の３ＬＤＫ、75のマンションが12000000で取引された。
